index,date,time,group,submitted
830277,3/26/2025,11:13,GroupA,submitted
590493,3/26/2025,16:18,GroupA,not_submitted
759554,3/26/2025,5:13,GroupB,not_submitted
489127,3/26/2025,20:11,GroupA,submitted
398815,3/26/2025,7:04,GroupB,submitted
292730,3/26/2025,16:09,GroupB,submitted
500491,3/26/2025,13:03,GroupA,submitted
447041,3/26/2025,5:17,GroupB,submitted
192970,3/26/2025,13:26,GroupA,submitted
367969,3/26/2025,17:51,GroupA,submitted
813124,3/26/2025,12:27,GroupA,not_submitted
845532,3/26/2025,15:26,GroupB,not_submitted
567547,3/26/2025,18:16,GroupA,submitted
926237,3/26/2025,2:40,GroupB,not_submitted
844961,3/26/2025,2:38,GroupB,submitted
587265,3/26/2025,9:52,GroupA,not_submitted
950064,3/26/2025,19:24,GroupB,not_submitted
725307,3/26/2025,19:56,GroupA,submitted
729467,3/26/2025,5:39,GroupB,not_submitted
709636,3/26/2025,8:58,GroupA,submitted
